identifier,,Unnamed: 0,identifier,topic_num,weight,Department,title,identifier1,topic_num1,weight1,Department1,title1,source,target
f3057d3g,71718,71719,f3057d3g,topic7,0.0019315812710000001,Materials,Patterning Surfaces using Block Copolymer Polymer Thin Films and Polymer Brushes Synthesized by a Light-Mediated Controlled Radical Polymerization Technique,f31j97wk,topic7,0.189616704,Anthropology,"Food & Fertility in Prehistoric California: A Case-study of Risk-Reducing Foraging Behavior and Population Growth from Santa Cruz Island, California",16,98
f308638n,74349,74350,f308638n,topic19,0.000252,Biomolecular Science and Engineering,The detection of infection with electrochemical DNA biosensors,f3qz283c,topic19,0.0005690000000000001,Materials,Experimental and Computational Investigations of Organic and Hybrid Solar Cells,17,1308
f308638n,76596,76597,f308638n,topic7,0.004505429765,Biomolecular Science and Engineering,The detection of infection with electrochemical DNA biosensors,f32v2d9s,topic7,0.04520831777,Statistics and Applied Probability,Stochastic flocking and its application to systemic risk with jumps,17,175
f308638n,77782,77783,f308638n,topic7,0.004505429765,Biomolecular Science and Engineering,The detection of infection with electrochemical DNA biosensors,f3tb14wc,topic7,0.01660167808,Chemical Engineering,Fundamental Investigations of Phase Separation in Multiphase Fluids,17,1451
f308638n,75650,75651,f308638n,topic25,0.02227689194,Biomolecular Science and Engineering,The detection of infection with electrochemical DNA biosensors,f3n877wn,topic25,0.000604,Communication,"Communication and Identity Negotiation Processes by Professionals in Health Care Organizations: Examining Race, Gender, and Class Intersections",17,1150
f308638n,75483,75484,f308638n,topic25,0.02227689194,Biomolecular Science and Engineering,The detection of infection with electrochemical DNA biosensors,f3j10183,topic25,0.001044068565,Materials,Investigations of the properties of filled elastomers during cyclic deformation using small angle x-ray scattering,17,961
f3086393,79052,79053,f3086393,topic19,0.04776766097,Comparative Literature,Problems at Work: Spatial Tensions in Modern Workspaces,f3639mvr,topic19,0.000193,Geological Sciences,"Crustal extension and magmatism during the mid-Cenozoic ignimbrite flare-up in the Guazapares Mining District and Cerocahui basin regions, northern Sierra Madre Occidental, western Chihuahua, Mexico",18,366
f3086393,81707,81708,f3086393,topic26,0.035738861430000005,Comparative Literature,Problems at Work: Spatial Tensions in Modern Workspaces,f3g44n8g,topic26,0.00034700000000000003,"Counseling, Clinical and School Psychology",Using the Pivotal Areas of Initiations and Self-Management to Target Social Conversation Skills in Adolescents with Autism,18,849
f3086393,78476,78477,f3086393,topic17,0.000597,Comparative Literature,Problems at Work: Spatial Tensions in Modern Workspaces,f3j964g2,topic17,0.000365,Electrical and Computer Engineering,Scalable and High Quality Algorithm Design For High Level Synthesis,18,977
f3086393,82743,82744,f3086393,topic7,0.0029743924339999997,Comparative Literature,Problems at Work: Spatial Tensions in Modern Workspaces,f3h41pcd,topic7,0.0279454209,Geological Sciences,"Time-scales of crustal anatexis in the Ama Drime Massif, southern Tibet",18,906
