FID,ID,Xindex,Yindex,Qerror,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,topic50,topic51,topic52,topic53,topic54,topic55,topic56,topic57,topic58,topic59,topic60,topic61,topic62,topic63,topic64,topic65,topic66,topic67,topic68,topic69,topic70,identifier,identifi_1,title,year,author,degree_gra,degree_sup,language,x,y
1490,1206,29,13,0.212362,0.000117,0.000217,0.000133,0.000153,9.1E-05,9.8E-05,0.000158,0.001643,0.000115,0.000259,9.9E-05,9.9E-05,7.4E-05,0.000279,0.000224,0.000166,8.9E-05,0.00033,6.1E-05,0.000454,0.000135,0.000135,0.000123,6.1E-05,8E-05,0.234736,0.104051,9.5E-05,0.000157,2.2E-05,0.000393,0.092755,0.000167,7.3E-05,5.9E-05,9.2E-05,0.201166,0.231913,8E-05,0.00014,8.4E-05,6.2E-05,0.000174,0.000116,7.1E-05,0.000111,0.000105,0.000132,0.000485,0.000243,7.3E-05,4.4E-05,5.6E-05,7.6E-05,0.000657,8.9E-05,7.4E-05,0.000124,0.000102,0.000194,0.103948,0.019858,0.000133,0.00016,0.000133,0.000155,6.8E-05,0.000116,0.000114,0.000795,0.000151,f37d2s45,https://www.alexandria.ucsb.edu/lib/ark:/48907/f37d2s45,Mixed Reality Simulation,2013,"Lee, Cha","University of California, Santa Barbara. Computer Science","Tobias Hollerer, Doug A. Bowman",English,29.4708555261971,11.4635275282108
1491,1521,1,21,0.138368,0.000122,0.000226,0.000139,0.000159,9.5E-05,0.000102,0.000164,0.021952,0.00012,0.00027,0.000103,0.000103,7.7E-05,0.040775,0.000233,0.000172,9.2E-05,0.479409,6.4E-05,0.000473,0.00014,0.000141,0.000128,6.4E-05,8.3E-05,0.014828,0.013799,9.8E-05,0.000163,2.3E-05,0.000409,0.002046,0.000174,7.6E-05,6.2E-05,9.6E-05,0.00014,0.180575,8.3E-05,0.000146,8.7E-05,6.5E-05,0.000181,0.000121,7.4E-05,0.000115,0.006857,0.000138,0.000505,0.000253,7.6E-05,4.6E-05,5.9E-05,7.9E-05,0.027673,9.2E-05,0.013572,0.000129,0.000107,0.000202,0.000198,0.00042,0.000139,0.000166,0.000139,0.000161,0.05405,0.000121,0.000119,0.135775,0.000158,f3z31wk8,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3z31wk8,How African American Students Define Leadership,2012,"Armistead, Katya Jean","University of California, Santa Barbara and California Polytechnic State University. Education, Joint Program Cal Poly SLO","Cynthia Hudley, Jenny Cook-Gumperz",English,1.41855107978999,18.2675070195953
1492,1207,35,0,0.161742,0.000137,0.000253,0.000156,0.000179,0.000106,0.000114,0.000184,0.017045,0.000134,0.000302,0.000116,0.000115,8.6E-05,0.000326,0.007825,0.000193,0.000103,0.000384,7.2E-05,0.00053,0.000157,0.000158,0.000144,7.2E-05,9.3E-05,0.016622,0.446618,0.00011,0.000183,2.6E-05,0.000459,0.093062,0.000195,8.5E-05,6.9E-05,0.000108,0.000157,0.202429,9.3E-05,0.000164,9.8E-05,7.3E-05,0.000203,0.000135,8.3E-05,0.000129,0.000123,0.000154,0.000566,0.144,8.5E-05,5.2E-05,6.6E-05,8.9E-05,0.000766,0.015231,8.6E-05,0.000145,0.00012,0.000226,0.000222,0.038291,0.000155,0.000186,0.000156,0.000181,8E-05,0.000135,0.000133,0.008491,0.000177,f3q81b2g,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3q81b2g,Graph-Based Transductive Learning for Visual Classification and Retrieval,2013,"Xu, Jiejun","University of California, Santa Barbara. Computer Science",B.S. Manjunath,English,35.1429775430671,-0.0473063252476243
1493,1522,34,25,0.129622,5E-05,9.3E-05,5.7E-05,6.5E-05,3.9E-05,4.2E-05,0.052669,0.067146,4.9E-05,0.030564,4.2E-05,4.2E-05,3.2E-05,0.000119,9.6E-05,7.1E-05,3.8E-05,0.000141,2.6E-05,0.000194,5.8E-05,0.044354,5.3E-05,2.6E-05,3.4E-05,0.000547,0.000125,4E-05,0.024984,9E-06,0.000168,0.119885,7.1E-05,3.1E-05,2.5E-05,0.038799,5.8E-05,0.140535,3.4E-05,6E-05,3.6E-05,2.7E-05,7.4E-05,5E-05,3E-05,4.7E-05,0.019424,5.7E-05,0.426558,0.000104,0.002799,1.9E-05,2.4E-05,3.3E-05,0.00028,3.8E-05,3.2E-05,5.3E-05,4.4E-05,8.3E-05,8.1E-05,0.005709,0.022205,6.8E-05,5.7E-05,6.6E-05,2.9E-05,5E-05,4.9E-05,0.000339,6.5E-05,f3w093vq,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3w093vq,Mechanistic studies of nucleation from solution,2012,"Knott, Brandon Christopher","University of California, Santa Barbara. Chemical Engineering","Michael F. Doherty, Baron Peters",English,34.3458544386769,21.7344937640329
1494,1208,6,24,0.190476,0.043611,0.116083,0.000297,0.000341,0.000203,0.000218,0.000351,0.047012,0.000256,0.000577,0.000221,0.00022,0.057964,0.000622,0.000499,0.260466,0.000197,0.000735,0.000137,0.001012,0.000301,0.000301,0.000275,0.000137,0.000177,0.002854,0.072901,0.000211,0.00035,4.9E-05,0.000876,0.10553,0.000372,0.000162,0.000133,0.000205,0.000301,0.18441,0.000177,0.000313,0.000187,0.000139,0.000387,0.000259,0.000159,0.000247,0.000234,0.000295,0.001081,0.000542,0.000162,9.9E-05,0.000126,0.00017,0.059263,0.000197,0.000165,0.000277,0.000228,0.000432,0.000423,0.000899,0.000297,0.000356,0.000297,0.000345,0.000152,0.000259,0.000255,0.030671,0.000337,f3bz640g,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3bz640g,Assessing ship movements using volunteered geographic information,2013,"Walbridge, Shaun","University of California, Santa Barbara. Ecology, Evolution and Marine Biology",Steven D. Gaines,English,5.72633239854853,20.7351176400261
1495,1523,1,37,0.265363,0.000135,0.00025,0.000153,0.000176,0.000104,0.000112,0.000181,0.173268,0.000132,0.000298,0.000114,0.000113,8.5E-05,0.007772,0.000257,0.00019,0.000102,0.209015,7.1E-05,0.000522,0.246048,0.000155,0.000142,7.1E-05,9.2E-05,0.053631,0.000336,0.000109,0.00018,2.5E-05,0.000452,0.002259,0.000192,8.4E-05,6.8E-05,0.000106,0.000155,0.281376,9.1E-05,0.000161,9.6E-05,7.2E-05,0.0002,0.000133,8.2E-05,0.000127,0.000121,0.000152,0.000557,0.00028,8.3E-05,5.1E-05,6.5E-05,8.7E-05,0.000755,0.000102,8.5E-05,0.000143,0.000118,0.000223,0.000218,0.000464,0.000153,0.000184,0.000153,0.000178,7.9E-05,0.000133,0.000131,0.015816,0.000174,f3mw2f3t,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3mw2f3t,"Towards an Operational Definition of Effective Co-Teaching: Instrument Development, Validity, and Reliability",2012,"La Monte, Michelle Evonne","University of California, Santa Barbara. Education",Michael Gerber,English,1.23999888961348,32.0713935672268
1496,1209,41,17,0.140294,0.005745,0.000189,0.000116,0.000133,7.9E-05,8.5E-05,0.000137,0.012717,0.0001,0.000226,8.6E-05,8.6E-05,6.4E-05,0.000243,0.000195,0.000144,7.7E-05,0.00593,5.3E-05,0.006038,0.000117,0.530577,0.000107,5.3E-05,6.9E-05,0.142194,0.000255,8.2E-05,0.000137,1.9E-05,0.000342,0.063786,0.000145,6.3E-05,5.2E-05,8E-05,0.000117,0.060733,6.9E-05,0.000122,7.3E-05,5.4E-05,0.000151,0.05089,6.2E-05,9.6E-05,9.2E-05,0.000115,0.000422,0.000212,6.3E-05,3.9E-05,4.9E-05,6.6E-05,0.000571,7.7E-05,6.5E-05,0.000108,8.9E-05,0.000169,0.000165,0.05114,0.062191,0.000139,0.000116,0.000135,6E-05,0.000101,9.9E-05,0.000692,0.000132,f38c9t7j,https://www.alexandria.ucsb.edu/lib/ark:/48907/f38c9t7j,Hybrid Silicon Photonic Integration using Quantum Well Intermixing,2013,"Jain, Siddharth R.","University of California, Santa Barbara. Electrical and Computer Engineering","John E. Bowers, Matthew N. Sysak",English,41.3314431642834,14.6856868091968
1497,1524,17,8,0.224295,7.3E-05,0.000134,8.3E-05,9.5E-05,5.6E-05,6.1E-05,0.00411,0.001017,7.1E-05,0.00016,6.1E-05,6.1E-05,4.6E-05,0.000173,0.000139,0.000102,5.5E-05,0.000204,3.8E-05,0.000281,0.004096,8.4E-05,7.6E-05,3.8E-05,4.9E-05,0.000793,0.000181,5.8E-05,9.7E-05,1.4E-05,0.076486,0.001217,0.000103,4.5E-05,3.7E-05,5.7E-05,8.4E-05,0.163569,4.9E-05,8.7E-05,5.2E-05,0.485583,0.000108,7.2E-05,4.4E-05,6.9E-05,6.5E-05,8.2E-05,0.0003,0.000151,4.5E-05,2.7E-05,3.5E-05,4.7E-05,0.193019,5.5E-05,4.6E-05,7.7E-05,6.3E-05,0.032222,0.000118,0.00025,8.2E-05,9.9E-05,0.032185,9.6E-05,4.2E-05,7.2E-05,7.1E-05,0.000492,9.4E-05,f34747tm,https://www.alexandria.ucsb.edu/lib/ark:/48907/f34747tm,Life to Likeness: Painting and Spectacle au vif in the Burgundian State,2012,"Turel, Noa","University of California, Santa Barbara. Art History",Mark Meadow,English,16.7532880431227,6.92353454152268
1498,1210,18,15,0.1279,9.9E-05,0.000184,0.000113,0.00013,7.7E-05,8.3E-05,0.000133,0.006879,9.7E-05,0.000219,8.4E-05,8.4E-05,6.3E-05,0.000236,0.00019,0.00014,7.5E-05,0.000279,5.2E-05,0.000384,0.000114,0.000114,0.000104,5.2E-05,6.7E-05,0.023037,0.000248,8E-05,0.000133,1.9E-05,0.000333,0.029106,0.000141,6.2E-05,5E-05,7.8E-05,0.000114,0.207251,6.7E-05,0.000119,7.1E-05,5.3E-05,0.000147,9.8E-05,6E-05,9.4E-05,8.9E-05,0.000112,0.000411,0.000206,6.1E-05,3.8E-05,4.8E-05,6.4E-05,0.110322,7.5E-05,6.3E-05,0.000105,8.7E-05,0.000164,0.000161,0.000341,0.000113,0.011112,0.53248,0.000131,5.8E-05,9.8E-05,0.027538,0.044579,0.000128,f38050p4,https://www.alexandria.ucsb.edu/lib/ark:/48907/f38050p4,"Buddhists, Brahmans, and Buddhist Brahmans: Negotiating Identities in Indian Antiquity",2013,"McGovern, Nathan Michael","University of California, Santa Barbara. Religious Studies",Vesna A. Wallace,English,18.3053766028107,13.0837846647263
1499,1525,13,40,0.188637,0.350456,0.000159,0.123201,0.000112,6.6E-05,7.1E-05,0.000115,0.048547,8.4E-05,0.000189,7.2E-05,7.2E-05,5.4E-05,0.000204,0.000164,0.000121,6.5E-05,0.000241,4.5E-05,0.000332,9.9E-05,9.9E-05,9E-05,4.5E-05,5.8E-05,0.00567,0.000214,6.9E-05,0.019054,1.6E-05,0.000287,0.143478,0.000122,5.3E-05,4.3E-05,6.7E-05,9.9E-05,0.169324,5.8E-05,0.028511,6.1E-05,4.6E-05,0.000127,8.5E-05,5.2E-05,8.1E-05,7.7E-05,9.7E-05,0.038232,0.000178,5.3E-05,3.2E-05,4.1E-05,5.6E-05,0.005214,6.5E-05,5.4E-05,9.1E-05,7.5E-05,0.061693,0.000139,0.000295,9.7E-05,0.000117,9.7E-05,0.000113,5E-05,8.5E-05,8.3E-05,0.00058,0.000111,f31r6ng3,https://www.alexandria.ucsb.edu/lib/ark:/48907/f31r6ng3,Dispersal in Marine Systems: Identifying interactions between marine larvae and ocean currents with implications for biogeographic patterns,2012,"Hoaglund, Elizabeth Ann","University of California, Santa Barbara. Ecology, Evolution and Marine Biology","Steven D. Gaines, Gretchen E. Hofmann",English,12.9748319013929,34.472849472092
1500,1362,26,28,0.173944,8.2E-05,0.000152,9.3E-05,0.040978,6.4E-05,6.8E-05,0.031899,0.11014,8E-05,0.036511,6.9E-05,6.9E-05,5.2E-05,0.000196,0.000157,0.000116,6.2E-05,0.000231,4.3E-05,0.000318,9.5E-05,9.5E-05,8.6E-05,4.3E-05,5.6E-05,0.028144,0.000205,6.6E-05,0.045522,1.6E-05,0.036605,0.055872,0.000117,5.1E-05,4.2E-05,0.027312,9.5E-05,0.166945,5.6E-05,9.8E-05,0.086342,4.4E-05,0.32709,8.1E-05,5E-05,7.8E-05,7.4E-05,9.3E-05,0.00034,0.00017,5.1E-05,3.1E-05,3.9E-05,5.3E-05,0.00046,6.2E-05,5.2E-05,8.7E-05,7.2E-05,0.000136,0.000133,0.000283,9.3E-05,0.000112,9.3E-05,0.000108,4.8E-05,8.1E-05,8E-05,0.000557,0.000106,f36w980b,https://www.alexandria.ucsb.edu/lib/ark:/48907/f36w980b,"Bacterial exposure to metal-oxide nanoparticles: Methods, physical interactions, and biological effects",2012,"Horst, Allison Marie","University of California, Santa Barbara. Environmental Science and Management",Patricia A. Holden,English,26.2882073591195,24.1684686826579
1501,1363,15,1,0.15702,9.9E-05,0.000183,0.000112,0.000129,7.7E-05,8.2E-05,0.000133,0.001383,9.7E-05,0.005676,8.3E-05,8.3E-05,6.2E-05,0.000235,0.000188,0.000139,7.5E-05,0.000277,0.00551,0.000382,0.000114,0.000114,0.000104,5.2E-05,6.7E-05,0.001078,0.000246,0.076497,0.000132,1.9E-05,0.382417,0.001655,0.000141,6.1E-05,5E-05,7.8E-05,0.000114,0.189744,6.7E-05,0.000118,7.1E-05,0.152887,0.000146,9.8E-05,0.005518,9.3E-05,8.9E-05,0.000111,0.000408,0.000205,6.1E-05,3.7E-05,4.7E-05,6.4E-05,0.093345,7.5E-05,6.2E-05,0.000105,8.6E-05,0.000163,0.00016,0.005798,0.000112,0.000135,0.000112,0.00013,5.8E-05,9.8E-05,9.6E-05,0.071628,0.000127,f3x9287g,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3x9287g,"Reflexive Minds, Phenomenal Bodies: The Birth of Aesthetic Experience in Mid-Victorian Literature",2012,"Star, Summer Jasmine","University of California, Santa Barbara. English",Kay Young,English,15.3410882722122,1.06691193762927
1502,1364,17,9,0.160399,0.000103,0.00019,0.000117,0.000134,8E-05,8.6E-05,0.000138,0.05819,0.028477,0.000227,8.7E-05,8.6E-05,6.5E-05,0.000244,0.000196,0.000145,7.7E-05,0.022989,5.4E-05,0.000398,0.000118,0.000118,0.000108,5.4E-05,7E-05,0.001121,0.000256,8.3E-05,0.000137,1.9E-05,0.051421,0.001721,0.000146,6.4E-05,5.2E-05,8.1E-05,0.000118,0.231333,7E-05,0.000123,7.3E-05,0.329217,0.000152,0.000102,6.2E-05,9.7E-05,9.2E-05,0.000116,0.000425,0.000213,6.4E-05,3.9E-05,4.9E-05,6.7E-05,0.011925,7.8E-05,6.5E-05,0.005784,9E-05,0.00017,0.000166,0.000353,0.000117,0.00014,0.119296,0.000136,6E-05,0.000102,0.0001,0.131225,0.000133,f3pv6hht,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3pv6hht,Transformers: Chinese Self-Cultivation Traditions in Taiwan's Falun Gong,2012,"Adams, Ryan John Taylor","University of California, Santa Barbara. Religious Studies",Mayfair M. Yang,English,17.5445235441265,7.90027598000272
1503,1365,22,10,0.180247,0.000102,0.000189,0.028332,0.000133,0.045225,8.5E-05,0.000137,0.119937,0.0001,0.000226,8.6E-05,8.6E-05,6.4E-05,0.000243,0.000195,0.000144,7.7E-05,0.000287,5.3E-05,0.000395,0.000117,0.000118,0.000107,5.3E-05,6.9E-05,0.006758,0.000255,8.2E-05,0.000137,1.9E-05,0.000342,0.114575,0.000145,6.3E-05,5.2E-05,8E-05,0.000117,0.072019,6.9E-05,0.000122,7.3E-05,5.4E-05,0.000151,0.000101,0.536164,9.6E-05,9.2E-05,0.000115,0.000422,0.000212,6.3E-05,3.9E-05,4.9E-05,6.6E-05,0.000571,7.7E-05,6.5E-05,0.000108,8.9E-05,0.005812,0.000165,0.000351,0.000116,0.000139,0.028332,0.000135,6E-05,0.000101,9.9E-05,0.034551,0.000132,f3n014g0,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3n014g0,Acoustic properties of coda liquids in Californian English,2012,"Nelson, Onna Adele","University of California, Santa Barbara. Linguistics",Matthew Gordon,English,22.1812986147998,8.82205726813983
1504,1366,31,26,0.233175,0.000147,0.000272,0.000167,0.000192,0.000114,0.000122,0.000197,0.01829,0.000144,0.000324,0.000124,0.000124,9.3E-05,0.000349,0.00028,0.000207,0.000111,0.000413,7.7E-05,0.000569,0.000169,0.000169,0.000154,7.7E-05,0.0001,0.001603,0.000366,0.000118,0.000197,2.8E-05,0.000492,0.034927,0.146307,9.1E-05,7.4E-05,0.000115,0.000169,0.071118,0.0001,0.000176,0.000105,7.8E-05,0.292413,0.000145,8.9E-05,0.000139,0.000132,0.000166,0.406435,0.000305,9.1E-05,5.5E-05,7.1E-05,9.5E-05,0.000822,0.000111,9.3E-05,0.000156,0.000128,0.000243,0.000238,0.016738,0.000167,0.0002,0.000167,0.000194,8.6E-05,0.000145,0.000143,0.000995,0.00019,f3j9649t,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3j9649t,Dynamics of multicomponent lipid membranes,2012,"Camley, Brian Andrew","University of California, Santa Barbara. Physics",Frank L. H. Brown,English,30.8747033612449,22.4436540629286
1505,1367,8,35,0.320962,5.2E-05,9.6E-05,5.9E-05,6.8E-05,4E-05,4.3E-05,7E-05,0.193699,5.1E-05,0.000115,4.4E-05,4.4E-05,3.3E-05,0.000124,0.339956,7.4E-05,3.9E-05,0.008787,2.7E-05,0.000202,6E-05,6E-05,5.5E-05,2.7E-05,3.5E-05,0.000569,0.00013,4.2E-05,7E-05,1E-05,0.000175,0.035435,7.4E-05,3.2E-05,2.6E-05,4.1E-05,6E-05,0.079959,3.5E-05,6.2E-05,3.7E-05,2.8E-05,7.7E-05,5.2E-05,0.002912,4.9E-05,4.7E-05,0.322635,0.000215,0.000108,3.2E-05,2E-05,2.5E-05,3.4E-05,0.000292,3.9E-05,3.3E-05,5.5E-05,4.6E-05,8.6E-05,8.4E-05,0.000179,5.9E-05,7.1E-05,5.9E-05,6.9E-05,3E-05,5.2E-05,5.1E-05,0.011874,6.7E-05,f3wm1bb2,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3wm1bb2,The "Strong Black Women Collective": Intergroup delineations among Black and White female friendship social support networks,2012,"Davis, Sharde' Marie","University of California, Santa Barbara. Communication",Tamara Afifi,English,8.34257027736037,30.3681492109641
1506,1368,9,18,0.20127,0.000118,0.000219,0.000134,0.000154,9.2E-05,9.8E-05,0.000159,0.053872,0.000116,0.000261,0.0001,9.9E-05,7.4E-05,0.000281,0.006753,0.000167,8.9E-05,0.013386,6.2E-05,0.2746,0.000136,0.000136,0.000124,6.2E-05,8E-05,0.001289,0.000295,9.5E-05,0.000158,2.2E-05,0.000396,0.015034,0.000168,7.3E-05,6E-05,9.3E-05,0.000136,0.207318,8E-05,0.000141,8.4E-05,6.3E-05,0.000175,0.000117,7.2E-05,0.000112,0.000106,0.000133,0.000488,0.000245,7.3E-05,4.5E-05,5.7E-05,7.7E-05,0.07246,8.9E-05,7.5E-05,0.000125,0.000103,0.000195,0.000191,0.000406,0.000134,0.000161,0.000134,0.261244,6.9E-05,0.000117,0.000115,0.085654,0.000152,f3765cf9,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3765cf9,The "Facade of Inclusivity": Post-Conflict Democracy in Rwanda,2012,"Brown, Ashley Allyssa","University of California, Santa Barbara. Global and International Studies",Alison Brysk,English,9.24360439211513,15.7421385635425
1507,1369,12,0,0.21504,0.0062,0.000204,0.000125,0.000144,8.5E-05,0.24369,0.000148,0.001543,0.000108,0.000243,9.3E-05,9.3E-05,6.9E-05,0.000262,0.00021,0.000155,8.3E-05,0.00031,5.8E-05,0.018696,0.000127,0.000127,0.000116,5.8E-05,7.5E-05,0.001203,0.000275,8.9E-05,0.000147,2.1E-05,0.323137,0.026206,0.000157,6.8E-05,5.6E-05,8.7E-05,0.000127,0.10208,7.5E-05,0.000132,7.9E-05,5.9E-05,0.000163,0.000109,6.7E-05,0.000104,9.9E-05,0.000124,0.000456,0.000229,6.8E-05,4.2E-05,5.3E-05,7.1E-05,0.085876,8.3E-05,7E-05,0.000117,9.6E-05,0.012362,0.000178,0.000379,0.000125,0.00015,0.000125,0.000145,6.4E-05,0.000109,0.000107,0.171265,0.000142,f37m05ww,https://www.alexandria.ucsb.edu/lib/ark:/48907/f37m05ww,"Deflowering Attachments: Prostitutes, Popular Culture, and Affective Histories of Chineseness",2012,"Wong, Li","University of California, Santa Barbara. Comparative Literature",Michael Berry,English,12.1513738535213,-0.142820539111929
1508,1370,17,0,0.183814,0.000121,0.000225,0.000138,0.000158,9.4E-05,0.000101,0.000163,0.041912,0.000119,0.000268,0.000103,0.000102,7.6E-05,0.000289,0.000231,0.006873,9.1E-05,0.000341,6.4E-05,0.000469,0.000139,0.00014,0.000128,6.4E-05,8.2E-05,0.001324,0.000302,9.8E-05,0.000162,2.3E-05,0.2886,0.002032,0.000173,7.5E-05,6.1E-05,9.5E-05,0.000139,0.065428,8.2E-05,0.000145,8.7E-05,6.4E-05,0.00018,0.00012,0.046989,0.000114,0.006811,0.060457,0.000501,0.000252,0.100608,4.6E-05,5.8E-05,7.9E-05,0.134722,0.140838,7.7E-05,0.000129,0.000106,0.0002,0.000196,0.000417,0.000138,0.000165,0.000138,0.00016,7.1E-05,0.00012,0.026927,0.067843,0.000156,f3j67dw3,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3j67dw3,Hearing Double: The Musical Body and the Female Voice in the Works of E.T.A. Hoffmann and George Sand,2012,"Marcoline, Anne Teresa","University of California, Santa Barbara. Comparative Literature",Catherine Nesci,English,17.1982330827766,0.224594786500484
1509,1371,40,2,0.0790624,0.000111,0.000205,0.000126,0.000145,8.6E-05,9.2E-05,0.006276,0.001553,0.000109,0.000245,0.006221,9.3E-05,7E-05,0.000264,0.000212,0.000156,8.4E-05,0.000311,5.8E-05,0.000429,0.000128,0.000128,0.000117,5.8E-05,7.5E-05,0.00121,0.000277,8.9E-05,0.000148,2.1E-05,0.000372,0.099894,0.104321,6.9E-05,5.6E-05,8.7E-05,0.000128,0.121088,7.5E-05,0.000133,7.9E-05,5.9E-05,0.000164,0.00011,6.7E-05,0.000105,9.9E-05,0.000125,0.080113,0.00023,6.9E-05,4.2E-05,5.3E-05,7.2E-05,0.00062,8.4E-05,7E-05,0.000118,9.7E-05,0.000183,0.00018,0.09229,0.000126,0.006278,0.000126,0.000146,0.471864,0.00011,0.000108,0.000751,0.000143,f38k775x,https://www.alexandria.ucsb.edu/lib/ark:/48907/f38k775x,Aspects of Three-dimensional Chern-Simons Superconformal Field Theories and their M-theory Interpretation,2012,"Romo Jorquera, Mauricio A.","University of California, Santa Barbara. Physics",David E. Berenstein,English,40.2489714464402,1.73612627257479
1510,1372,2,0,0.153965,8.3E-05,0.000154,0.046134,0.000109,6.5E-05,0.10596,0.000112,0.005771,8.2E-05,0.000184,7E-05,7E-05,5.2E-05,0.000198,0.000159,0.000118,6.3E-05,0.000234,4.4E-05,0.087797,9.6E-05,9.6E-05,8.8E-05,4.4E-05,5.7E-05,0.000909,0.000208,6.7E-05,0.000111,1.6E-05,0.000279,0.001396,0.000119,5.2E-05,4.2E-05,6.5E-05,9.6E-05,0.146231,5.6E-05,0.0001,5.9E-05,0.004648,0.000123,8.2E-05,5.1E-05,0.096761,0.096758,0.050737,0.000344,0.000173,5.2E-05,3.1E-05,4E-05,5.4E-05,0.000466,6.3E-05,5.3E-05,8.8E-05,7.3E-05,0.000138,0.000135,0.000286,9.5E-05,0.000113,9.5E-05,0.00011,4.9E-05,8.2E-05,8.1E-05,0.350464,0.000108,f3dn430t,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3dn430t,The Other Side of Hunger: Everyday Experiences of Mexican and Central American Migrant Women with Food Insecurity in Santa Barbara County,2012,"Carney, Megan A.","University of California, Santa Barbara. Anthropology",Susan C. Stonich,English,2.08512908417951,-0.190061559015703
1511,1373,41,18,0.147805,0.000143,0.000265,0.000163,0.000187,0.000111,0.00012,0.000193,0.002008,0.00014,0.000317,0.000121,0.000121,9E-05,0.000341,0.000274,0.000202,0.000108,0.000403,7.5E-05,0.016402,0.031859,0.451811,0.000151,7.5E-05,9.7E-05,0.191732,0.024128,0.000115,0.000192,2.7E-05,0.00048,0.073715,0.000204,8.9E-05,7.3E-05,0.000113,0.000165,0.093198,9.7E-05,0.000172,0.000102,7.6E-05,0.000212,0.000142,8.7E-05,0.000135,0.000129,0.000162,0.056058,0.000297,8.9E-05,5.4E-05,6.9E-05,9.3E-05,0.000802,0.000108,9.1E-05,0.000152,0.015972,0.000237,0.000232,0.032187,0.000163,0.000195,0.000163,0.000189,8.4E-05,0.000142,0.00014,0.000971,0.000185,f3nz85mh,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3nz85mh,Computing prime factors using a Josephson phase-qubit architecture: 15 = 3 x 5,2012,"Lucero, Erik Anthony","University of California, Santa Barbara. Physics",John M. Martinis,English,41.0765210432796,15.603877606059
1512,1374,14,3,0.205095,0.000112,0.000208,0.000128,0.000147,8.7E-05,9.4E-05,0.000151,0.076011,0.00011,0.000248,9.5E-05,9.4E-05,7.1E-05,0.012674,0.000214,0.000158,8.5E-05,0.000315,5.9E-05,0.000435,0.000129,0.080772,0.000118,0.130328,7.6E-05,0.001225,0.00028,9E-05,0.00015,2.1E-05,0.254711,0.001881,0.00016,7E-05,5.7E-05,8.8E-05,0.024942,0.128793,7.6E-05,0.000134,8E-05,6E-05,0.000166,0.000111,6.8E-05,0.000106,0.000101,0.000127,0.000464,0.000233,6.9E-05,4.2E-05,5.4E-05,7.3E-05,0.205336,8.5E-05,7.1E-05,0.000119,0.037318,0.012592,0.000182,0.000386,0.000127,0.000153,0.000128,0.000148,6.5E-05,0.000111,0.000109,0.025574,0.000145,f3jm27pk,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3jm27pk,Perception and Playthings: Optical Toys as Instruments of Science and Culture,2012,"Bak, Meredith Anne","University of California, Santa Barbara. Film and Media Studies",Peter J. Bloom,English,14.6179415026967,2.4370825865192
1513,1375,34,17,0.125238,0.000118,0.000219,0.000134,0.000154,9.2E-05,9.8E-05,0.006686,0.047345,0.000116,0.000261,0.0001,9.9E-05,7.4E-05,0.000281,0.000225,0.000167,8.9E-05,0.000332,6.2E-05,0.000457,0.000136,0.000136,0.000124,6.2E-05,8E-05,0.170997,0.000295,9.5E-05,0.000158,2.2E-05,0.000396,0.080306,0.000168,7.3E-05,6E-05,9.3E-05,0.000136,0.168155,8E-05,0.443991,8.4E-05,6.3E-05,0.000175,0.000117,7.2E-05,0.000112,0.000106,0.000133,0.000488,0.000245,7.3E-05,4.5E-05,5.7E-05,7.7E-05,0.000661,8.9E-05,7.5E-05,0.000125,0.000103,0.000195,0.000191,0.019988,0.045825,0.000161,0.000134,0.000156,6.9E-05,0.006644,0.000115,0.0008,0.000152,f3qj7f8f,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3qj7f8f,Exploiting Parametric Resonance and Amplification in Microcantilever-based Mass Sensing,2012,"Yie, Zi","University of California, Santa Barbara. Mechanical Engineering",Kimberly L. Turner,English,34.2056666967848,14.6894362343946
